,time, temperature,humidity
0,15626,32.3,88
1,15728,33.0,87
2,15830,33.1,85
3,15932,31.7,87
4,16033,31.4,85
5,16135,31.7,88
6,16237,31.9,87
7,16339,31.5,85
8,16440,31.4,86
9,16542,33.1,87
10,16644,31.2,87
11,16746,31.9,86
12,16848,31.7,88
13,16950,30.6,88
14,17051,31.9,86
15,17153,31.7,86
16,17255,31.5,86
17,17357,32.8,87
18,17458,32.2,88
19,17559,31.2,87
20,17661,32.0,86
21,17763,32.3,86
22,17865,32.5,85
23,17967,30.1,88
24,18068,32.0,88
25,18170,31.4,86
26,18272,31.5,87
27,18374,32.3,88
28,18476,33.5,86
29,18577,31.0,86
30,18678,35.1,87
31,18780,28.8,87
32,18882,31.5,88
33,18984,31.2,87
34,19086,31.7,87
35,19188,31.7,88
36,19289,30.6,85
37,19391,31.7,88
38,19493,32.0,86
39,19595,31.4,87
40,19696,31.7,86
41,19798,32.0,87
42,19900,31.9,85
43,20002,32.5,86
44,20104,31.4,87
45,20206,31.7,85
46,20307,31.7,88
47,20409,32.0,88
48,20511,32.0,86
49,20613,30.9,86
50,20715,31.0,86
51,20817,31.2,86
52,20918,31.4,86
53,21020,31.7,85
54,21122,32.3,86
55,21224,31.0,87
56,21326,31.4,86
57,21428,31.7,88
58,21530,34.4,86
59,21632,33.0,88
60,21734,31.0,88
61,21836,31.2,87
62,21937,31.2,88
63,22038,31.0,87
64,22140,30.7,88
65,22242,31.9,88
66,22344,32.0,86
67,22446,31.0,88
68,22547,31.4,85
69,22649,31.0,85
70,22751,31.7,87
71,22853,28.3,85
72,22954,31.9,87
73,23055,31.9,85
74,23156,31.5,87
75,23259,31.2,85
76,23361,30.1,88
77,23463,30.1,85
78,23564,33.5,87
79,23666,30.7,86
80,23767,31.4,87
81,23869,31.2,86
82,23970,31.5,87
83,24072,32.3,87
84,24173,30.2,87
85,24275,32.3,85
86,24377,31.4,86
87,24479,31.2,88
88,24581,31.2,86
89,24682,31.7,88
90,24784,31.9,86
91,24886,31.4,87
92,24988,31.0,88
93,25090,31.0,87
94,25192,31.2,87
95,25293,31.7,88
96,25395,31.7,86
97,25497,31.2,85
98,25599,32.3,85
99,25701,31.0,85
100,25802,31.2,88
101,25904,32.2,85
102,26006,31.4,88
103,26108,32.3,86
104,26210,31.4,87
105,26312,32.2,88
106,26414,31.0,85
107,26516,31.0,88
108,26618,31.4,88
109,26720,31.5,87
110,26822,31.5,88
111,26923,32.3,87
112,27025,31.7,85
113,27127,31.4,85
114,27229,31.9,87
115,27331,34.3,87
116,27433,31.9,88
117,27534,39.4,88
118,27636,30.7,85
119,27738,31.7,85
120,27840,31.7,86
121,27942,31.4,88
122,28043,31.9,87
123,28145,31.2,88
124,28247,31.4,87
125,28349,31.9,87
126,28451,31.4,86
127,28553,30.7,86
128,28654,31.4,86
129,28756,30.4,86
130,28858,31.0,88
131,28960,31.7,85
132,29061,33.0,85
133,29162,31.7,85
134,29264,31.7,85
135,29366,32.0,86
136,29468,31.4,86
137,29570,31.4,87
138,29671,30.9,87
139,29772,31.7,86
140,29874,33.5,85
141,29976,31.0,87
142,30078,31.0,88
143,30179,30.9,88
144,30281,31.2,87
145,30383,31.4,86
146,30485,31.2,87
147,30587,21.5,87
148,30689,32.0,86
149,30791,31.2,85
150,30893,31.4,87
151,30995,31.0,88
152,31097,32.2,86
153,31199,31.5,85
154,31301,31.4,87
155,31403,31.4,87
156,31505,31.4,88
157,31607,32.7,86
158,31709,31.4,85
159,31811,31.4,85
160,31913,31.5,88
161,32015,31.7,86
162,32117,32.0,86
163,32219,32.0,87
164,32321,32.0,88
165,32422,31.4,88
166,32524,32.5,88
167,32626,31.7,87
168,32728,33.1,88
169,32830,32.0,87
170,32932,31.2,87
171,33033,31.4,85
172,33134,34.9,87
173,33236,31.5,87
174,33338,31.4,85
175,33440,31.2,86
176,33541,31.4,86
177,33642,31.4,88
178,33744,31.9,87
179,33846,31.7,85
180,33948,31.5,86
181,34050,33.0,88
182,34151,31.7,87
183,34253,32.7,86
184,34355,31.9,88
185,34457,32.0,87
186,34559,31.4,86
187,34660,30.9,85
188,34762,31.9,88
189,34864,31.4,87
190,34966,31.9,87
191,35068,31.5,85
192,35169,32.5,86
193,35270,30.7,87
194,35372,31.2,86
195,35474,31.7,86
196,35576,30.9,87
197,35677,31.9,88
198,35778,32.3,85
199,35880,33.3,87
200,35982,31.4,88
201,36084,30.9,88
202,36186,31.4,88
203,36287,31.7,85
204,36389,31.7,88
205,36491,30.7,85
206,36593,31.0,88
207,36695,31.9,86
208,36797,31.7,88
209,36898,32.5,87
210,37000,31.7,85
211,37102,32.0,87
212,37204,31.4,88
213,37306,31.7,86
214,37408,31.7,87
215,37510,31.5,85
216,37612,31.7,87
217,37714,31.5,86
218,37816,31.7,86
219,37918,25.7,88
220,38020,31.7,86
221,38122,30.9,85
222,38224,30.9,88
223,38326,31.4,88
224,38428,32.0,88
225,38529,31.7,86
226,38631,31.4,86
227,38733,31.4,86
228,38835,31.2,86
229,38937,33.5,85
230,39038,32.5,85
231,39139,35.9,86
232,39241,31.9,88
233,39343,30.9,88
234,39445,31.4,86
235,39546,31.0,86
236,39647,33.0,88
237,39749,31.2,86
238,39850,31.5,85
239,39952,30.1,88
240,40054,30.9,88
241,40155,31.4,87
242,40256,31.0,85
243,40359,31.2,86
244,40462,30.9,88
245,40564,31.2,87
246,40665,32.0,85
247,40767,31.2,85
248,40868,31.4,87
249,40969,31.9,86
250,41071,30.6,85
251,41172,32.5,85
252,41273,31.4,86
253,41375,31.2,87
254,41477,31.9,85
255,41579,31.9,87
256,41681,32.3,85
257,41783,31.7,86
258,41884,31.7,85
259,41986,31.2,88
260,42088,32.7,87
261,42190,31.7,87
262,42292,31.5,85
263,42393,29.9,88
